"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2012"	"2012/01"	"< 1 year"	"0"	1880	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"1 year"	"1"	137	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"2 years"	"2"	86	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"3 years"	"3"	62	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"4 years"	"4"	51	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"5 years"	"5"	48	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"6 years"	"6"	27	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"7 years"	"7"	38	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"8 years"	"8"	31	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"9 years"	"9"	30	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"10 years"	"10"	35	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"11 years"	"11"	37	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"12 years"	"12"	38	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"13 years"	"13"	44	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"14 years"	"14"	64	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"15 years"	"15"	88	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"16 years"	"16"	97	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"17 years"	"17"	174	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"18 years"	"18"	205	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"19 years"	"19"	273	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"20 years"	"20"	297	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"21 years"	"21"	333	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"22 years"	"22"	299	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"23 years"	"23"	313	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"24 years"	"24"	301	Not Applicable	Not Applicable
