"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2012"	"2012/01"	"< 1 year"	"0"	1914	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"1 year"	"1"	137	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"2 years"	"2"	88	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"3 years"	"3"	65	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"4 years"	"4"	51	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"5 years"	"5"	49	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"6 years"	"6"	27	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"7 years"	"7"	38	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"8 years"	"8"	31	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"9 years"	"9"	30	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"10 years"	"10"	36	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"11 years"	"11"	37	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"12 years"	"12"	38	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"13 years"	"13"	44	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"14 years"	"14"	66	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"15 years"	"15"	87	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"16 years"	"16"	99	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"17 years"	"17"	176	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"18 years"	"18"	207	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"19 years"	"19"	276	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"20 years"	"20"	301	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"21 years"	"21"	333	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"22 years"	"22"	305	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"23 years"	"23"	316	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"24 years"	"24"	304	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"25 years"	"25"	323	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"26 years"	"26"	317	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"27 years"	"27"	338	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"28 years"	"28"	314	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"29 years"	"29"	359	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"30 years"	"30"	361	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"31 years"	"31"	388	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"32 years"	"32"	407	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"33 years"	"33"	370	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"34 years"	"34"	436	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"35 years"	"35"	374	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"36 years"	"36"	440	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"37 years"	"37"	445	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"38 years"	"38"	483	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"39 years"	"39"	525	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"40 years"	"40"	589	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"41 years"	"41"	698	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"42 years"	"42"	712	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"43 years"	"43"	745	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"44 years"	"44"	782	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"45 years"	"45"	934	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"46 years"	"46"	1020	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"47 years"	"47"	1172	Not Applicable	Not Applicable
