"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2018 Week 01 ending January 06, 2018"	"2018/01"	52218	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	61759	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	59090	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	57417	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	55709	Not Applicable	Not Applicable
	"2018 Week 06 ending February 10, 2018"	"2018/06"	55755	Not Applicable	Not Applicable
	"2018 Week 07 ending February 17, 2018"	"2018/07"	54566	Not Applicable	Not Applicable
	"2018 Week 08 ending February 24, 2018"	"2018/08"	52783	Not Applicable	Not Applicable
	"2018 Week 09 ending March 03, 2018"	"2018/09"	51702	Not Applicable	Not Applicable
	"2018 Week 10 ending March 10, 2018"	"2018/10"	52066	Not Applicable	Not Applicable
	"2018 Week 11 ending March 17, 2018"	"2018/11"	51349	Not Applicable	Not Applicable
	"2018 Week 12 ending March 24, 2018"	"2018/12"	50978	Not Applicable	Not Applicable
	"2018 Week 13 ending March 31, 2018"	"2018/13"	50078	Not Applicable	Not Applicable
	"2018 Week 14 ending April 07, 2018"	"2018/14"	50331	Not Applicable	Not Applicable
	"2018 Week 15 ending April 14, 2018"	"2018/15"	50376	Not Applicable	Not Applicable
	"2018 Week 16 ending April 21, 2018"	"2018/16"	49210	Not Applicable	Not Applicable
	"2018 Week 17 ending April 28, 2018"	"2018/17"	48964	Not Applicable	Not Applicable
	"2018 Week 18 ending May 05, 2018"	"2018/18"	48851	Not Applicable	Not Applicable
	"2018 Week 19 ending May 12, 2018"	"2018/19"	47463	Not Applicable	Not Applicable
	"2018 Week 20 ending May 19, 2018"	"2018/20"	46100	Not Applicable	Not Applicable
	"2018 Week 21 ending May 26, 2018"	"2018/21"	46509	Not Applicable	Not Applicable
	"2018 Week 22 ending June 02, 2018"	"2018/22"	46457	Not Applicable	Not Applicable
	"2018 Week 23 ending June 09, 2018"	"2018/23"	47353	Not Applicable	Not Applicable
	"2018 Week 24 ending June 16, 2018"	"2018/24"	46887	Not Applicable	Not Applicable
	"2018 Week 25 ending June 23, 2018"	"2018/25"	46499	Not Applicable	Not Applicable
	"2018 Week 26 ending June 30, 2018"	"2018/26"	46222	Not Applicable	Not Applicable
	"2018 Week 27 ending July 07, 2018"	"2018/27"	47052	Not Applicable	Not Applicable
	"2018 Week 28 ending July 14, 2018"	"2018/28"	46662	Not Applicable	Not Applicable
	"2018 Week 29 ending July 21, 2018"	"2018/29"	46104	Not Applicable	Not Applicable
	"2018 Week 30 ending July 28, 2018"	"2018/30"	45792	Not Applicable	Not Applicable
	"2018 Week 31 ending August 04, 2018"	"2018/31"	46128	Not Applicable	Not Applicable
	"2018 Week 32 ending August 11, 2018"	"2018/32"	46430	Not Applicable	Not Applicable
	"2018 Week 33 ending August 18, 2018"	"2018/33"	45736	Not Applicable	Not Applicable
	"2018 Week 34 ending August 25, 2018"	"2018/34"	45993	Not Applicable	Not Applicable
	"2018 Week 35 ending September 01, 2018"	"2018/35"	46109	Not Applicable	Not Applicable
	"2018 Week 36 ending September 08, 2018"	"2018/36"	45744	Not Applicable	Not Applicable
	"2018 Week 37 ending September 15, 2018"	"2018/37"	46578	Not Applicable	Not Applicable
	"2018 Week 38 ending September 22, 2018"	"2018/38"	46880	Not Applicable	Not Applicable
	"2018 Week 39 ending September 29, 2018"	"2018/39"	46199	Not Applicable	Not Applicable
	"2018 Week 40 ending October 06, 2018"	"2018/40"	47611	Not Applicable	Not Applicable
	"2018 Week 41 ending October 13, 2018"	"2018/41"	47153	Not Applicable	Not Applicable
	"2018 Week 42 ending October 20, 2018"	"2018/42"	48309	Not Applicable	Not Applicable
	"2018 Week 43 ending October 27, 2018"	"2018/43"	49100	Not Applicable	Not Applicable
	"2018 Week 44 ending November 03, 2018"	"2018/44"	48847	Not Applicable	Not Applicable
	"2018 Week 45 ending November 10, 2018"	"2018/45"	48783	Not Applicable	Not Applicable
	"2018 Week 46 ending November 17, 2018"	"2018/46"	49815	Not Applicable	Not Applicable
	"2018 Week 47 ending November 24, 2018"	"2018/47"	50043	Not Applicable	Not Applicable
	"2018 Week 48 ending December 01, 2018"	"2018/48"	50097	Not Applicable	Not Applicable
	"2018 Week 49 ending December 08, 2018"	"2018/49"	50980	Not Applicable	Not Applicable
	"2018 Week 50 ending December 15, 2018"	"2018/50"	51469	Not Applicable	Not Applicable
	"2018 Week 51 ending December 22, 2018"	"2018/51"	51531	Not Applicable	Not Applicable
	"2018 Week 52 ending December 29, 2018"	"2018/52"	51030	Not Applicable	Not Applicable
	"2018 Week Not Available"	"2018/99"	144	Not Applicable	Not Applicable
	"2019 Week 01 ending January 05, 2019"	"2019/01"	53193	Not Applicable	Not Applicable
	"2019 Week 02 ending January 12, 2019"	"2019/02"	53125	Not Applicable	Not Applicable
	"2019 Week 03 ending January 19, 2019"	"2019/03"	52999	Not Applicable	Not Applicable
	"2019 Week 04 ending January 26, 2019"	"2019/04"	52711	Not Applicable	Not Applicable
	"2019 Week 05 ending February 02, 2019"	"2019/05"	53096	Not Applicable	Not Applicable
	"2019 Week 06 ending February 09, 2019"	"2019/06"	53401	Not Applicable	Not Applicable
	"2019 Week 07 ending February 16, 2019"	"2019/07"	52769	Not Applicable	Not Applicable
	"2019 Week 08 ending February 23, 2019"	"2019/08"	52943	Not Applicable	Not Applicable
	"2019 Week 09 ending March 02, 2019"	"2019/09"	52777	Not Applicable	Not Applicable
	"2019 Week 10 ending March 09, 2019"	"2019/10"	53228	Not Applicable	Not Applicable
	"2019 Week 11 ending March 16, 2019"	"2019/11"	52714	Not Applicable	Not Applicable
	"2019 Week 12 ending March 23, 2019"	"2019/12"	52168	Not Applicable	Not Applicable
	"2019 Week 13 ending March 30, 2019"	"2019/13"	51634	Not Applicable	Not Applicable
	"2019 Week 14 ending April 06, 2019"	"2019/14"	51639	Not Applicable	Not Applicable
	"2019 Week 15 ending April 13, 2019"	"2019/15"	50555	Not Applicable	Not Applicable
	"2019 Week 16 ending April 20, 2019"	"2019/16"	49680	Not Applicable	Not Applicable
	"2019 Week 17 ending April 27, 2019"	"2019/17"	48799	Not Applicable	Not Applicable
	"2019 Week 18 ending May 04, 2019"	"2019/18"	49124	Not Applicable	Not Applicable
	"2019 Week 19 ending May 11, 2019"	"2019/19"	48725	Not Applicable	Not Applicable
	"2019 Week 20 ending May 18, 2019"	"2019/20"	48734	Not Applicable	Not Applicable
	"2019 Week 21 ending May 25, 2019"	"2019/21"	48838	Not Applicable	Not Applicable
	"2019 Week 22 ending June 01, 2019"	"2019/22"	48009	Not Applicable	Not Applicable
	"2019 Week 23 ending June 08, 2019"	"2019/23"	48340	Not Applicable	Not Applicable
	"2019 Week 24 ending June 15, 2019"	"2019/24"	47833	Not Applicable	Not Applicable
	"2019 Week 25 ending June 22, 2019"	"2019/25"	47582	Not Applicable	Not Applicable
	"2019 Week 26 ending June 29, 2019"	"2019/26"	47630	Not Applicable	Not Applicable
	"2019 Week 27 ending July 06, 2019"	"2019/27"	47719	Not Applicable	Not Applicable
	"2019 Week 28 ending July 13, 2019"	"2019/28"	47176	Not Applicable	Not Applicable
	"2019 Week 29 ending July 20, 2019"	"2019/29"	46961	Not Applicable	Not Applicable
	"2019 Week 30 ending July 27, 2019"	"2019/30"	47086	Not Applicable	Not Applicable
	"2019 Week 31 ending August 03, 2019"	"2019/31"	46791	Not Applicable	Not Applicable
	"2019 Week 32 ending August 10, 2019"	"2019/32"	47080	Not Applicable	Not Applicable
	"2019 Week 33 ending August 17, 2019"	"2019/33"	46364	Not Applicable	Not Applicable
	"2019 Week 34 ending August 24, 2019"	"2019/34"	46490	Not Applicable	Not Applicable
	"2019 Week 35 ending August 31, 2019"	"2019/35"	46469	Not Applicable	Not Applicable
	"2019 Week 36 ending September 07, 2019"	"2019/36"	47255	Not Applicable	Not Applicable
	"2019 Week 37 ending September 14, 2019"	"2019/37"	46938	Not Applicable	Not Applicable
	"2019 Week 38 ending September 21, 2019"	"2019/38"	47266	Not Applicable	Not Applicable
	"2019 Week 39 ending September 28, 2019"	"2019/39"	47962	Not Applicable	Not Applicable
	"2019 Week 40 ending October 05, 2019"	"2019/40"	47863	Not Applicable	Not Applicable
	"2019 Week 41 ending October 12, 2019"	"2019/41"	48431	Not Applicable	Not Applicable
	"2019 Week 42 ending October 19, 2019"	"2019/42"	49539	Not Applicable	Not Applicable
	"2019 Week 43 ending October 26, 2019"	"2019/43"	49268	Not Applicable	Not Applicable
	"2019 Week 44 ending November 02, 2019"	"2019/44"	49354	Not Applicable	Not Applicable
	"2019 Week 45 ending November 09, 2019"	"2019/45"	50650	Not Applicable	Not Applicable
	"2019 Week 46 ending November 16, 2019"	"2019/46"	50900	Not Applicable	Not Applicable
	"2019 Week 47 ending November 23, 2019"	"2019/47"	51100	Not Applicable	Not Applicable
	"2019 Week 48 ending November 30, 2019"	"2019/48"	50563	Not Applicable	Not Applicable
	"2019 Week 49 ending December 07, 2019"	"2019/49"	52191	Not Applicable	Not Applicable
	"2019 Week 50 ending December 14, 2019"	"2019/50"	52774	Not Applicable	Not Applicable
	"2019 Week 51 ending December 21, 2019"	"2019/51"	52401	Not Applicable	Not Applicable
	"2019 Week 52 ending December 28, 2019"	"2019/52"	53269	Not Applicable	Not Applicable
	"2019 Week Not Available"	"2019/99"	119	Not Applicable	Not Applicable
	"2020 Week 01 ending January 04, 2020"	"2020/01"	54689	Not Applicable	Not Applicable
	"2020 Week 02 ending January 11, 2020"	"2020/02"	55173	Not Applicable	Not Applicable
	"2020 Week 03 ending January 18, 2020"	"2020/03"	53868	Not Applicable	Not Applicable
	"2020 Week 04 ending January 25, 2020"	"2020/04"	53675	Not Applicable	Not Applicable
	"2020 Week 05 ending February 01, 2020"	"2020/05"	53420	Not Applicable	Not Applicable
	"2020 Week 06 ending February 08, 2020"	"2020/06"	54108	Not Applicable	Not Applicable
	"2020 Week 07 ending February 15, 2020"	"2020/07"	53383	Not Applicable	Not Applicable
	"2020 Week 08 ending February 22, 2020"	"2020/08"	53533	Not Applicable	Not Applicable
	"2020 Week 09 ending February 29, 2020"	"2020/09"	53875	Not Applicable	Not Applicable
	"2020 Week 10 ending March 07, 2020"	"2020/10"	54171	Not Applicable	Not Applicable
	"2020 Week 11 ending March 14, 2020"	"2020/11"	53155	Not Applicable	Not Applicable
	"2020 Week 12 ending March 21, 2020"	"2020/12"	53707	Not Applicable	Not Applicable
	"2020 Week 13 ending March 28, 2020"	"2020/13"	57320	Not Applicable	Not Applicable
	"2020 Week 14 ending April 04, 2020"	"2020/14"	65716	Not Applicable	Not Applicable
	"2020 Week 15 ending April 11, 2020"	"2020/15"	71807	Not Applicable	Not Applicable
	"2020 Week 16 ending April 18, 2020"	"2020/16"	69847	Not Applicable	Not Applicable
	"2020 Week 17 ending April 25, 2020"	"2020/17"	67444	Not Applicable	Not Applicable
	"2020 Week 18 ending May 02, 2020"	"2020/18"	62977	Not Applicable	Not Applicable
	"2020 Week 19 ending May 09, 2020"	"2020/19"	60762	Not Applicable	Not Applicable
	"2020 Week 20 ending May 16, 2020"	"2020/20"	58589	Not Applicable	Not Applicable
	"2020 Week 21 ending May 23, 2020"	"2020/21"	56060	Not Applicable	Not Applicable
	"2020 Week 22 ending May 30, 2020"	"2020/22"	54242	Not Applicable	Not Applicable
	"2020 Week 23 ending June 06, 2020"	"2020/23"	53427	Not Applicable	Not Applicable
	"2020 Week 24 ending June 13, 2020"	"2020/24"	52601	Not Applicable	Not Applicable
	"2020 Week 25 ending June 20, 2020"	"2020/25"	52578	Not Applicable	Not Applicable
	"2020 Week 26 ending June 27, 2020"	"2020/26"	53196	Not Applicable	Not Applicable
	"2020 Week 27 ending July 04, 2020"	"2020/27"	54253	Not Applicable	Not Applicable
	"2020 Week 28 ending July 11, 2020"	"2020/28"	56037	Not Applicable	Not Applicable
	"2020 Week 29 ending July 18, 2020"	"2020/29"	57236	Not Applicable	Not Applicable
	"2020 Week 30 ending July 25, 2020"	"2020/30"	58161	Not Applicable	Not Applicable
	"2020 Week 31 ending August 01, 2020"	"2020/31"	58112	Not Applicable	Not Applicable
	"2020 Week 32 ending August 08, 2020"	"2020/32"	57625	Not Applicable	Not Applicable
	"2020 Week 33 ending August 15, 2020"	"2020/33"	57599	Not Applicable	Not Applicable
	"2020 Week 34 ending August 22, 2020"	"2020/34"	56597	Not Applicable	Not Applicable
	"2020 Week 35 ending August 29, 2020"	"2020/35"	55510	Not Applicable	Not Applicable
	"2020 Week 36 ending September 05, 2020"	"2020/36"	54623	Not Applicable	Not Applicable
	"2020 Week 37 ending September 12, 2020"	"2020/37"	54250	Not Applicable	Not Applicable
	"2020 Week 38 ending September 19, 2020"	"2020/38"	54082	Not Applicable	Not Applicable
	"2020 Week 39 ending September 26, 2020"	"2020/39"	54987	Not Applicable	Not Applicable
	"2020 Week 40 ending October 03, 2020"	"2020/40"	54240	Not Applicable	Not Applicable
	"2020 Week 41 ending October 10, 2020"	"2020/41"	56101	Not Applicable	Not Applicable
	"2020 Week 42 ending October 17, 2020"	"2020/42"	55025	Not Applicable	Not Applicable
