"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2018 Week 01 ending January 06, 2018"	"2018/01"	57050	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	67419	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	64591	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	62728	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	60909	Not Applicable	Not Applicable
	"2018 Week 06 ending February 10, 2018"	"2018/06"	61044	Not Applicable	Not Applicable
	"2018 Week 07 ending February 17, 2018"	"2018/07"	59707	Not Applicable	Not Applicable
	"2018 Week 08 ending February 24, 2018"	"2018/08"	57725	Not Applicable	Not Applicable
	"2018 Week 09 ending March 03, 2018"	"2018/09"	56634	Not Applicable	Not Applicable
	"2018 Week 10 ending March 10, 2018"	"2018/10"	57040	Not Applicable	Not Applicable
	"2018 Week 11 ending March 17, 2018"	"2018/11"	56241	Not Applicable	Not Applicable
	"2018 Week 12 ending March 24, 2018"	"2018/12"	55708	Not Applicable	Not Applicable
	"2018 Week 13 ending March 31, 2018"	"2018/13"	54855	Not Applicable	Not Applicable
	"2018 Week 14 ending April 07, 2018"	"2018/14"	55227	Not Applicable	Not Applicable
	"2018 Week 15 ending April 14, 2018"	"2018/15"	55170	Not Applicable	Not Applicable
	"2018 Week 16 ending April 21, 2018"	"2018/16"	53979	Not Applicable	Not Applicable
	"2018 Week 17 ending April 28, 2018"	"2018/17"	53651	Not Applicable	Not Applicable
	"2018 Week 18 ending May 05, 2018"	"2018/18"	53685	Not Applicable	Not Applicable
	"2018 Week 19 ending May 12, 2018"	"2018/19"	52046	Not Applicable	Not Applicable
	"2018 Week 20 ending May 19, 2018"	"2018/20"	50564	Not Applicable	Not Applicable
	"2018 Week 21 ending May 26, 2018"	"2018/21"	50854	Not Applicable	Not Applicable
	"2018 Week 22 ending June 02, 2018"	"2018/22"	50972	Not Applicable	Not Applicable
	"2018 Week 23 ending June 09, 2018"	"2018/23"	51940	Not Applicable	Not Applicable
	"2018 Week 24 ending June 16, 2018"	"2018/24"	51331	Not Applicable	Not Applicable
	"2018 Week 25 ending June 23, 2018"	"2018/25"	50982	Not Applicable	Not Applicable
