"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2018 Week 01 ending January 06, 2018"	"2018/01"	50299	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	59130	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	56710	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	55071	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	53746	Not Applicable	Not Applicable
	"2018 Week 06 ending February 10, 2018"	"2018/06"	53947	Not Applicable	Not Applicable
	"2018 Week 07 ending February 17, 2018"	"2018/07"	52847	Not Applicable	Not Applicable
	"2018 Week 08 ending February 24, 2018"	"2018/08"	51046	Not Applicable	Not Applicable
	"2018 Week 09 ending March 03, 2018"	"2018/09"	50133	Not Applicable	Not Applicable
	"2018 Week 10 ending March 10, 2018"	"2018/10"	50458	Not Applicable	Not Applicable
	"2018 Week 11 ending March 17, 2018"	"2018/11"	49825	Not Applicable	Not Applicable
	"2018 Week 12 ending March 24, 2018"	"2018/12"	49247	Not Applicable	Not Applicable
	"2018 Week 13 ending March 31, 2018"	"2018/13"	48464	Not Applicable	Not Applicable
	"2018 Week 14 ending April 07, 2018"	"2018/14"	48904	Not Applicable	Not Applicable
	"2018 Week 15 ending April 14, 2018"	"2018/15"	48925	Not Applicable	Not Applicable
	"2018 Week 16 ending April 21, 2018"	"2018/16"	47768	Not Applicable	Not Applicable
	"2018 Week 17 ending April 28, 2018"	"2018/17"	47655	Not Applicable	Not Applicable
	"2018 Week 18 ending May 05, 2018"	"2018/18"	47693	Not Applicable	Not Applicable
	"2018 Week 19 ending May 12, 2018"	"2018/19"	46364	Not Applicable	Not Applicable
	"2018 Week 20 ending May 19, 2018"	"2018/20"	45038	Not Applicable	Not Applicable
	"2018 Week 21 ending May 26, 2018"	"2018/21"	45244	Not Applicable	Not Applicable
	"2018 Week 22 ending June 02, 2018"	"2018/22"	45549	Not Applicable	Not Applicable
	"2018 Week 23 ending June 09, 2018"	"2018/23"	46373	Not Applicable	Not Applicable
	"2018 Week 24 ending June 16, 2018"	"2018/24"	45896	Not Applicable	Not Applicable
	"2018 Week 25 ending June 23, 2018"	"2018/25"	45399	Not Applicable	Not Applicable
	"2018 Week 26 ending June 30, 2018"	"2018/26"	45337	Not Applicable	Not Applicable
	"2018 Week 27 ending July 07, 2018"	"2018/27"	46267	Not Applicable	Not Applicable
	"2018 Week 28 ending July 14, 2018"	"2018/28"	45729	Not Applicable	Not Applicable
	"2018 Week 29 ending July 21, 2018"	"2018/29"	44997	Not Applicable	Not Applicable
	"2018 Week 30 ending July 28, 2018"	"2018/30"	44837	Not Applicable	Not Applicable
	"2018 Week 31 ending August 04, 2018"	"2018/31"	45259	Not Applicable	Not Applicable
	"2018 Week 32 ending August 11, 2018"	"2018/32"	45534	Not Applicable	Not Applicable
	"2018 Week 33 ending August 18, 2018"	"2018/33"	44812	Not Applicable	Not Applicable
	"2018 Week 34 ending August 25, 2018"	"2018/34"	45029	Not Applicable	Not Applicable
	"2018 Week 35 ending September 01, 2018"	"2018/35"	45079	Not Applicable	Not Applicable
	"2018 Week 36 ending September 08, 2018"	"2018/36"	44892	Not Applicable	Not Applicable
	"2018 Week 37 ending September 15, 2018"	"2018/37"	45541	Not Applicable	Not Applicable
	"2018 Week 38 ending September 22, 2018"	"2018/38"	46079	Not Applicable	Not Applicable
	"2018 Week 39 ending September 29, 2018"	"2018/39"	45312	Not Applicable	Not Applicable
