"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2018 Week 01 ending January 06, 2018"	"2018/01"	56756	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	67115	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	64269	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	62380	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	60583	Not Applicable	Not Applicable
	"2018 Week 06 ending February 10, 2018"	"2018/06"	60732	Not Applicable	Not Applicable
	"2018 Week 07 ending February 17, 2018"	"2018/07"	59441	Not Applicable	Not Applicable
	"2018 Week 08 ending February 24, 2018"	"2018/08"	57451	Not Applicable	Not Applicable
	"2018 Week 09 ending March 03, 2018"	"2018/09"	56295	Not Applicable	Not Applicable
	"2018 Week 10 ending March 10, 2018"	"2018/10"	56748	Not Applicable	Not Applicable
	"2018 Week 11 ending March 17, 2018"	"2018/11"	55929	Not Applicable	Not Applicable
	"2018 Week 12 ending March 24, 2018"	"2018/12"	55361	Not Applicable	Not Applicable
	"2018 Week 13 ending March 31, 2018"	"2018/13"	54576	Not Applicable	Not Applicable
	"2018 Week 14 ending April 07, 2018"	"2018/14"	54931	Not Applicable	Not Applicable
	"2018 Week 15 ending April 14, 2018"	"2018/15"	54833	Not Applicable	Not Applicable
	"2018 Week 16 ending April 21, 2018"	"2018/16"	53677	Not Applicable	Not Applicable
	"2018 Week 17 ending April 28, 2018"	"2018/17"	53360	Not Applicable	Not Applicable
	"2018 Week 18 ending May 05, 2018"	"2018/18"	53303	Not Applicable	Not Applicable
	"2018 Week 19 ending May 12, 2018"	"2018/19"	51700	Not Applicable	Not Applicable
	"2018 Week 20 ending May 19, 2018"	"2018/20"	50227	Not Applicable	Not Applicable
	"2018 Week 21 ending May 26, 2018"	"2018/21"	50529	Not Applicable	Not Applicable
	"2018 Week 22 ending June 02, 2018"	"2018/22"	50668	Not Applicable	Not Applicable
	"2018 Week 23 ending June 09, 2018"	"2018/23"	51608	Not Applicable	Not Applicable
	"2018 Week 24 ending June 16, 2018"	"2018/24"	50966	Not Applicable	Not Applicable
	"2018 Week 25 ending June 23, 2018"	"2018/25"	50650	Not Applicable	Not Applicable
	"2018 Week 26 ending June 30, 2018"	"2018/26"	50466	Not Applicable	Not Applicable
	"2018 Week 27 ending July 07, 2018"	"2018/27"	51274	Not Applicable	Not Applicable
	"2018 Week 28 ending July 14, 2018"	"2018/28"	50787	Not Applicable	Not Applicable
	"2018 Week 29 ending July 21, 2018"	"2018/29"	50206	Not Applicable	Not Applicable
	"2018 Week 30 ending July 28, 2018"	"2018/30"	49869	Not Applicable	Not Applicable
	"2018 Week 31 ending August 04, 2018"	"2018/31"	50271	Not Applicable	Not Applicable
	"2018 Week 32 ending August 11, 2018"	"2018/32"	50536	Not Applicable	Not Applicable
	"2018 Week 33 ending August 18, 2018"	"2018/33"	49944	Not Applicable	Not Applicable
	"2018 Week 34 ending August 25, 2018"	"2018/34"	50101	Not Applicable	Not Applicable
	"2018 Week 35 ending September 01, 2018"	"2018/35"	50219	Not Applicable	Not Applicable
	"2018 Week 36 ending September 08, 2018"	"2018/36"	49897	Not Applicable	Not Applicable
	"2018 Week 37 ending September 15, 2018"	"2018/37"	50685	Not Applicable	Not Applicable
	"2018 Week 38 ending September 22, 2018"	"2018/38"	51197	Not Applicable	Not Applicable
	"2018 Week 39 ending September 29, 2018"	"2018/39"	50589	Not Applicable	Not Applicable
	"2018 Week 40 ending October 06, 2018"	"2018/40"	51961	Not Applicable	Not Applicable
