"Notes","Residence County","Residence County Code","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"Kent County, DE","10001","2018 Week 01 ending January 06, 2018","2018/01",42,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 02 ending January 13, 2018","2018/02",30,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 03 ending January 20, 2018","2018/03",41,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 04 ending January 27, 2018","2018/04",43,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 05 ending February 03, 2018","2018/05",32,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 06 ending February 10, 2018","2018/06",24,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 07 ending February 17, 2018","2018/07",44,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 08 ending February 24, 2018","2018/08",35,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 09 ending March 03, 2018","2018/09",40,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 10 ending March 10, 2018","2018/10",28,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 11 ending March 17, 2018","2018/11",28,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 12 ending March 24, 2018","2018/12",30,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 13 ending March 31, 2018","2018/13",44,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 14 ending April 07, 2018","2018/14",33,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 15 ending April 14, 2018","2018/15",38,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 16 ending April 21, 2018","2018/16",39,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 17 ending April 28, 2018","2018/17",38,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 18 ending May 05, 2018","2018/18",26,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 19 ending May 12, 2018","2018/19",42,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 20 ending May 19, 2018","2018/20",40,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 21 ending May 26, 2018","2018/21",33,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 22 ending June 02, 2018","2018/22",27,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 23 ending June 09, 2018","2018/23",26,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 24 ending June 16, 2018","2018/24",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 25 ending June 23, 2018","2018/25",31,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 26 ending June 30, 2018","2018/26",31,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 27 ending July 07, 2018","2018/27",35,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 28 ending July 14, 2018","2018/28",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 29 ending July 21, 2018","2018/29",41,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 30 ending July 28, 2018","2018/30",28,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 31 ending August 04, 2018","2018/31",22,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 32 ending August 11, 2018","2018/32",37,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 33 ending August 18, 2018","2018/33",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 34 ending August 25, 2018","2018/34",38,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 35 ending September 01, 2018","2018/35",37,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 36 ending September 08, 2018","2018/36",38,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 37 ending September 15, 2018","2018/37",26,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 38 ending September 22, 2018","2018/38",27,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 39 ending September 29, 2018","2018/39",34,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 40 ending October 06, 2018","2018/40",30,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 41 ending October 13, 2018","2018/41",32,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 42 ending October 20, 2018","2018/42",35,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 43 ending October 27, 2018","2018/43",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 44 ending November 03, 2018","2018/44",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 45 ending November 10, 2018","2018/45",33,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 46 ending November 17, 2018","2018/46",47,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 47 ending November 24, 2018","2018/47",31,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 48 ending December 01, 2018","2018/48",32,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 49 ending December 08, 2018","2018/49",30,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 50 ending December 15, 2018","2018/50",38,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 51 ending December 22, 2018","2018/51",41,Not Applicable,Not Applicable
,"Kent County, DE","10001","2018 Week 52 ending December 29, 2018","2018/52",38,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 01 ending January 05, 2019","2019/01",25,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 02 ending January 12, 2019","2019/02",28,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 03 ending January 19, 2019","2019/03",34,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 04 ending January 26, 2019","2019/04",37,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 05 ending February 02, 2019","2019/05",36,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 06 ending February 09, 2019","2019/06",34,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 07 ending February 16, 2019","2019/07",34,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 08 ending February 23, 2019","2019/08",27,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 09 ending March 02, 2019","2019/09",42,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 10 ending March 09, 2019","2019/10",35,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 11 ending March 16, 2019","2019/11",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 12 ending March 23, 2019","2019/12",28,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 13 ending March 30, 2019","2019/13",39,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 14 ending April 06, 2019","2019/14",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 15 ending April 13, 2019","2019/15",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 16 ending April 20, 2019","2019/16",39,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 17 ending April 27, 2019","2019/17",30,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 18 ending May 04, 2019","2019/18",30,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 19 ending May 11, 2019","2019/19",23,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 20 ending May 18, 2019","2019/20",28,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 21 ending May 25, 2019","2019/21",31,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 22 ending June 01, 2019","2019/22",36,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 23 ending June 08, 2019","2019/23",30,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 24 ending June 15, 2019","2019/24",27,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 25 ending June 22, 2019","2019/25",33,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 26 ending June 29, 2019","2019/26",36,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 27 ending July 06, 2019","2019/27",38,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 28 ending July 13, 2019","2019/28",33,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 29 ending July 20, 2019","2019/29",35,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 30 ending July 27, 2019","2019/30",33,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 31 ending August 03, 2019","2019/31",31,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 32 ending August 10, 2019","2019/32",26,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 33 ending August 17, 2019","2019/33",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 34 ending August 24, 2019","2019/34",39,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 35 ending August 31, 2019","2019/35",33,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 36 ending September 07, 2019","2019/36",31,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 37 ending September 14, 2019","2019/37",36,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 38 ending September 21, 2019","2019/38",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 39 ending September 28, 2019","2019/39",32,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 40 ending October 05, 2019","2019/40",33,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 41 ending October 12, 2019","2019/41",28,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 42 ending October 19, 2019","2019/42",28,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 43 ending October 26, 2019","2019/43",27,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 44 ending November 02, 2019","2019/44",27,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 45 ending November 09, 2019","2019/45",34,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 46 ending November 16, 2019","2019/46",37,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 47 ending November 23, 2019","2019/47",22,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 48 ending November 30, 2019","2019/48",32,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 49 ending December 07, 2019","2019/49",33,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 50 ending December 14, 2019","2019/50",34,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 51 ending December 21, 2019","2019/51",37,Not Applicable,Not Applicable
,"Kent County, DE","10001","2019 Week 52 ending December 28, 2019","2019/52",34,Not Applicable,Not Applicable
,"Kent County, DE","10001","2020 Week 01 ending January 04, 2020","2020/01",43,Not Applicable,Not Applicable
,"Kent County, DE","10001","2020 Week 02 ending January 11, 2020","2020/02",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2020 Week 03 ending January 18, 2020","2020/03",34,Not Applicable,Not Applicable
,"Kent County, DE","10001","2020 Week 04 ending January 25, 2020","2020/04",29,Not Applicable,Not Applicable
,"Kent County, DE","10001","2020 Week 05 ending February 01, 2020","2020/05",26,Not Applicable,Not Applicable
,"Kent County, DE","10001","2020 Week 06 ending February 08, 2020","2020/06",36,Not Applicable,Not Applicable
,"Kent County, DE","10001","2020 Week 07 ending February 15, 2020","2020/07",32,Not Applicable,Not Applicable
