"Notes","Residence County","Residence County Code","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"Fairfield County, CT","09001","2018 Week 01 ending January 06, 2018","2018/01",126,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 02 ending January 13, 2018","2018/02",171,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 03 ending January 20, 2018","2018/03",151,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 04 ending January 27, 2018","2018/04",142,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 05 ending February 03, 2018","2018/05",149,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 06 ending February 10, 2018","2018/06",149,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 07 ending February 17, 2018","2018/07",140,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 08 ending February 24, 2018","2018/08",143,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 09 ending March 03, 2018","2018/09",124,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 10 ending March 10, 2018","2018/10",137,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 11 ending March 17, 2018","2018/11",142,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 12 ending March 24, 2018","2018/12",138,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 13 ending March 31, 2018","2018/13",144,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 14 ending April 07, 2018","2018/14",151,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 15 ending April 14, 2018","2018/15",118,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 16 ending April 21, 2018","2018/16",138,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 17 ending April 28, 2018","2018/17",144,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 18 ending May 05, 2018","2018/18",123,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 19 ending May 12, 2018","2018/19",131,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 20 ending May 19, 2018","2018/20",123,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 21 ending May 26, 2018","2018/21",143,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 22 ending June 02, 2018","2018/22",117,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 23 ending June 09, 2018","2018/23",132,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 24 ending June 16, 2018","2018/24",132,Not Applicable,Not Applicable
,"Fairfield County, CT","09001","2018 Week 25 ending June 23, 2018","2018/25",113,Not Applicable,Not Applicable
