"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2006"	"2006/01"	"< 1 year"	"0"	2294	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"1 year"	"1"	167	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"2 years"	"2"	85	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"3 years"	"3"	82	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"4 years"	"4"	60	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"5 years"	"5"	62	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"6 years"	"6"	49	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"7 years"	"7"	40	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"8 years"	"8"	32	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"9 years"	"9"	34	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"10 years"	"10"	44	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"11 years"	"11"	41	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"12 years"	"12"	46	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"13 years"	"13"	72	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"14 years"	"14"	97	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"15 years"	"15"	120	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"16 years"	"16"	156	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"17 years"	"17"	214	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"18 years"	"18"	259	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"19 years"	"19"	300	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"20 years"	"20"	329	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"21 years"	"21"	314	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"22 years"	"22"	303	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"23 years"	"23"	328	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"24 years"	"24"	341	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"25 years"	"25"	330	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"26 years"	"26"	312	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"27 years"	"27"	337	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"28 years"	"28"	319	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"29 years"	"29"	325	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"30 years"	"30"	333	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"31 years"	"31"	359	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"32 years"	"32"	354	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"33 years"	"33"	345	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"34 years"	"34"	430	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"35 years"	"35"	462	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"36 years"	"36"	510	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"37 years"	"37"	506	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"38 years"	"38"	566	Not Applicable	Not Applicable
